"Filename","BT"
"VJ102IMG.A2018363.1336.002.2019210185012.nc",161.95
"VNP02IMG.A2012023.1542.001.2017284230031.nc",162.78
"VNP02IMG.A2018365.1348.001.2018365202400.nc",163.35
"VJ102IMG.A2019334.0418.002.2019334102649.nc",163.84
"VJ102IMG.A2018335.0442.002.2019210121956.nc",163.90
"VJ102IMG.A2019035.1342.002.2019212220040.nc",163.92
"VJ102IMG.A2018365.0154.002.2019210194056.nc",164.04
"VJ102IMG.A2019001.1418.002.2019212145224.nc",164.04
"VJ102IMG.A2018345.1554.002.2019211192029.nc",164.07
"VNP02IMG.A2013019.1230.001.2017292053650.nc",164.16
"VJ102IMG.A2019035.1200.002.2019212220551.nc",164.21
"VNP02IMG.A2012024.0418.001.2017284233543.nc",164.22
"VJ102IMG.A2020027.1530.002.2020027202129.nc",164.58
"VJ102IMG.A2018347.1518.002.2019211193030.nc",164.97
"VJ102IMG.A2019002.0118.002.2019212145748.nc",165.11
"VJ102IMG.A2020028.1512.002.2020028203422.nc",165.11
"VNP02IMG.A2013016.1648.001.2017292051951.nc",165.11
"VNP02IMG.A2019002.1312.001.2019002232445.nc",165.17
"VNP02IMG.A2012019.1518.001.2017284220648.nc",165.31
"VJ102IMG.A2019030.1700.002.2019212211528.nc",165.33
"VJ102IMG.A2019311.0312.002.2019311104844.nc",165.47
"VNP02IMG.A2013027.1642.001.2017291080709.nc",165.47
"VNP02IMG.A2019006.1336.001.2019006200105.nc",165.47
"VJ102IMG.A2019001.0136.002.2019212145001.nc",165.50
"VJ102IMG.A2019012.1412.002.2019212183237.nc",165.52
"VNP02IMG.A2012081.1554.001.2017285191814.nc",165.53
"VJ102IMG.A2019003.1706.002.2019212151202.nc",165.55
"VJ102IMG.A2020010.0442.002.2020010125915.nc",165.55
"VJ102IMG.A2018323.0506.002.2019208111430.nc",165.61
"VJ102IMG.A2018361.1548.002.2019210183616.nc",165.63
"VJ102IMG.A2019032.0154.002.2019212214406.nc",165.77
"VJ102IMG.A2019034.1218.002.2019212215359.nc",165.80
"VNP02IMG.A2018045.1712.001.2018076130618.nc",165.80
"VNP02IMG.A2015017.1654.001.2017259102754.nc",165.88
"VNP02IMG.A2016327.1548.001.2017273222742.nc",165.91
"VJ102IMG.A2019036.1506.002.2019212220619.nc",165.96
"VJ102IMG.A2019032.1254.002.2019212214315.nc",165.99
"VNP02IMG.A2015063.1548.001.2017260020340.nc",166.01
"VNP02IMG.A2018363.1424.001.2018363213413.nc",166.04
"VNP02IMG.A2019070.0554.001.2019070132538.nc",166.04
"VNP02IMG.A2017304.1654.001.2018003005903.nc",166.07
"VNP02IMG.A2016359.1730.001.2017274010218.nc",166.12
"VNP02IMG.A2019002.1306.001.2019002232814.nc",166.15
"VJ102IMG.A2018364.1318.002.2019210203443.nc",166.17
"VJ102IMG.A2020016.1354.002.2020024181751.nc",166.17
"VJ102IMG.A2018344.1248.002.2019211211335.nc",166.20
"VNP02IMG.A2019318.0512.001.2019324185752.nc",166.23
"VJ102IMG.A2019064.1436.002.2019213014706.nc",166.23
"VJ102IMG.A2020142.1748.002.2020142235015.nc",166.28
"VNP02IMG.A2019005.1348.001.2019005221909.nc",166.36
"VJ102IMG.A2019005.1300.002.2019212174634.nc",166.39
"VJ102IMG.A2019029.1536.002.2019212211242.nc",166.39
"VNP02IMG.A2019031.1224.001.2019031193124.nc",166.44
"VNP02IMG.A2013006.1636.001.2017290214842.nc",166.52
"VNP02IMG.A2019002.0206.001.2019002085918.nc",166.60
"VJ102IMG.A2019027.1612.002.2019212205933.nc",166.60
"VNP02IMG.A2019009.1418.001.2019010004043.nc",166.65
"VNP02IMG.A2018345.0400.001.2018346211616.nc",166.68
"VJ102IMG.A2018064.1524.002.2019197215825.nc",166.70
"VJ102IMG.A2019009.0406.002.2019212181605.nc",166.78
"VJ102IMG.A2019037.1306.002.2019212221449.nc",166.78
"VNP02IMG.A2012364.0442.001.2017290164714.nc",166.81
"VJ102IMG.A2019031.1318.002.2019212213722.nc",166.86
"VJ102IMG.A2018365.1436.002.2019210204322.nc",166.89
"VJ102IMG.A2020137.1748.002.2020138001556.nc",166.89
"VJ102IMG.A2020163.1754.002.2020164000508.nc",166.91
"VNP02IMG.A2013020.1536.001.2017291061937.nc",166.96
"VNP02IMG.A2018090.0348.001.2018090105518.nc",166.96
"VNP02IMG.A2012029.1530.001.2017285015228.nc",166.99
"VNP02IMG.A2020015.1324.001.2020045162028.nc",166.99
"VNP02IMG.A2015054.1518.001.2017259230414.nc",167.04
"VNP02IMG.A2018002.0430.001.2018060211406.nc",167.04
"VNP02IMG.A2012019.1336.001.2017284220712.nc",167.07
"VNP02IMG.A2019004.0130.001.2019004075044.nc",167.12
"VJ102IMG.A2018364.1454.002.2019210191053.nc",167.12
"VJ102IMG.A2020017.0554.002.2020024183228.nc",167.12
"VNP02IMG.A2012028.1730.001.2017285012120.nc",167.14
"VJ102IMG.A2019002.1400.002.2019212145901.nc",167.17
"VJ102IMG.A2019024.1342.002.2019212204258.nc",167.17
"VJ102IMG.A2019031.0354.002.2019212213033.nc",167.17
"VNP02IMG.A2015043.0600.001.2017259192114.nc",167.20
"VNP02IMG.A2019038.1336.001.2019038212734.nc",167.20
"VNP02IMG.A2020029.1542.001.2020049163048.nc",167.22
"VJ102IMG.A2019025.1654.002.2019212204204.nc",167.23
"VJ102IMG.A2018346.1536.002.2019211192247.nc",167.25
"VNP02IMG.A2014090.1624.001.2017254201742.nc",167.27
"VNP02IMG.A2013050.1612.001.2017291121117.nc",167.30
"VNP02IMG.A2019032.1206.001.2019032223352.nc",167.30
"VNP02IMG.A2019043.1342.001.2019044185114.nc",167.30
"VNP02IMG.A2017003.1742.001.2017277110003.nc",167.32
"VNP02IMG.A2018331.0330.001.2018331094312.nc",167.32
"VNP02IMG.A2019035.1430.001.2019035225332.nc",167.32
"VJ102IMG.A2019043.1430.002.2019212235848.nc",167.33
"VNP02IMG.A2013028.1300.001.2017291082826.nc",167.35
"VNP02IMG.A2018015.0348.001.2018061010959.nc",167.35
"VJ102IMG.A2019003.1342.002.2019212173629.nc",167.38
"VNP02IMG.A2016360.1712.001.2017274011836.nc",167.40
"VJ102IMG.A2018359.1630.002.2019210182323.nc",167.41
"VNP02IMG.A2018364.1406.001.2018364210309.nc",167.43
"VNP02IMG.A2016356.0542.001.2017274010305.nc",167.45
"VNP02IMG.A2019001.0042.001.2019001071248.nc",167.45
"VNP02IMG.A2019011.1518.001.2019012004439.nc",167.45
"VJ102IMG.A2018345.1736.002.2019211192219.nc",167.48
"VJ102IMG.A2018347.1330.002.2019211192508.nc",167.48
"VNP02IMG.A2018365.0106.001.2018365071146.nc",167.53
"VNP02IMG.A2013026.0418.001.2017291081055.nc",167.56
"VNP02IMG.A2018323.1518.001.2018323202824.nc",167.56
"VNP02IMG.A2020028.1600.001.2020049163047.nc",167.56
"VNP02IMG.A2016038.1242.001.2017265104211.nc",167.58
"VNP02IMG.A2019036.1230.001.2019036234554.nc",167.61
"VJ102IMG.A2018303.1542.002.2019208074721.nc",167.61
"VNP02IMG.A2019041.1418.001.2019041212147.nc",167.63
"VJ102IMG.A2018315.1330.002.2019208095154.nc",167.66
"VNP02IMG.A2012341.0512.001.2017290081243.nc",167.71
"VNP02IMG.A2018362.0348.001.2018362111021.nc",167.71
"VNP02IMG.A2018010.1442.001.2018060234714.nc",167.73
"VJ102IMG.A2018342.0548.002.2019211183644.nc",167.74
"VNP02IMG.A2018346.0342.001.2018346220430.nc",167.76
"VJ102IMG.A2018363.1512.002.2019210193558.nc",167.76
"VJ102IMG.A2019031.1136.002.2019212212935.nc",167.76
"VNP02IMG.A2012040.1524.001.2017285054111.nc",167.81
"VNP02IMG.A2019030.1242.001.2019030174519.nc",167.81
"VNP02IMG.A2012030.1512.001.2017285010021.nc",167.83
"VNP02IMG.A2016084.0542.001.2017269220737.nc",167.83
"VNP02IMG.A2018360.1524.001.2018360231006.nc",167.83
"VJ102IMG.A2018365.1254.002.2019210195718.nc",167.84
"VNP02IMG.A2018365.0248.001.2018365090109.nc",167.86
"VJ102IMG.A2018363.1654.002.2019210190454.nc",167.86
"VJ102IMG.A2019034.1724.002.2019212220003.nc",167.86
"VJ102IMG.A2019039.1406.002.2019212222758.nc",167.86
"VNP02IMG.A2017355.0500.001.2018060182255.nc",167.88
"VJ102IMG.A2019051.1518.002.2019212233732.nc",167.89
"VNP02IMG.A2016336.0518.001.2017273232114.nc",167.91
"VJ102IMG.A2018362.0436.002.2019210183735.nc",167.92
"VJ102IMG.A2019026.1312.002.2019212204925.nc",167.92
"VNP02IMG.A2020008.0430.001.2020038195444.nc",167.94
"VJ102IMG.A2018356.1406.002.2019210170106.nc",167.94
"VJ102IMG.A2018361.1412.002.2019210183213.nc",167.94
"VNP02IMG.A2018029.1530.001.2018076014839.nc",167.96
"VNP02IMG.A2020046.1706.001.2020049213512.nc",167.96
"VJ102IMG.A2019004.0218.002.2019212173721.nc",167.97
"VNP02IMG.A2013014.1548.001.2017292050106.nc",167.99
"VNP02IMG.A2015026.1400.001.2017259142837.nc",167.99
"VNP02IMG.A2019334.0330.001.2019334090744.nc",167.99
"VJ102IMG.A2018080.1518.002.2019198031941.nc",168.02
"VJ102IMG.A2019024.1348.002.2019212204126.nc",168.02
"VNP02IMG.A2016344.1706.001.2017273235118.nc",168.04
"VNP02IMG.A2016356.1642.001.2017274010036.nc",168.04
"VNP02IMG.A2018082.1536.001.2018082214340.nc",168.04
"VNP02IMG.A2019037.1354.001.2019038020858.nc",168.04
"VJ102IMG.A2020017.1336.002.2020024181928.nc",168.04
"VNP02IMG.A2013047.0424.001.2017291120613.nc",168.06
"VJ102IMG.A2020029.0530.002.2020029094244.nc",168.07
"VNP02IMG.A2015062.1424.001.2017260023027.nc",168.09
"VJ102IMG.A2018339.1748.002.2019211192542.nc",168.09
"VNP02IMG.A2015008.1436.001.2017258195912.nc",168.11
"VNP02IMG.A2013030.1406.001.2017291080016.nc",168.14
"VNP02IMG.A2015363.1154.001.2017264033405.nc",168.14
"VNP02IMG.A2019039.1318.001.2019039202736.nc",168.14
"VJ102IMG.A2018095.1400.002.2019198051304.nc",168.14
