"PRES","HGHT","TEMP","DWPT","RELH","MIXR","DRCT","SKNT","THTA","THTE","THTV"
1005,41,29,25.2,80,20.58,50,7,301.7,362.8,305.4
1000,84,27.8,21.8,70,16.75,55,9,300.9,350.4,304
998,102,27.6,21.6,70,16.57,56,9,300.9,349.9,303.9
975.3,305,25.6,21.4,77,16.71,70,11,300.9,350.3,303.9
943,602,22.8,21,90,16.91,70,16,300.9,350.9,304
942.1,610,22.7,20.9,90,16.85,70,16,301,350.7,304
925,770,21.2,19.5,90,15.68,65,17,301,347.3,303.8
909.8,914,19.9,17.7,87,14.23,70,15,301.1,343.1,303.6
902,988,19.2,16.8,86,13.52,74,15,301.1,341.1,303.5
893,1075,19.2,17.4,89,14.2,78,15,302,344.1,304.5
878.2,1219,18.9,15.8,82,12.98,85,15,303.1,341.9,305.5
860,1399,18.6,13.7,73,11.59,95,16,304.6,339.4,306.7
850,1500,18.6,11.6,64,10.19,100,17,305.6,336.5,307.5
836,1643,18.4,7.4,49,7.78,100,17,306.9,330.8,308.3
818,1829,17.3,6.3,48,7.39,100,16,307.6,330.5,309
809,1924,16.8,5.8,48,7.2,98,15,308.1,330.3,309.4
803,1987,16.2,7.2,55,7.99,97,14,308.1,332.7,309.6
794,2083,16.2,6.2,52,7.54,96,13,309.1,332.5,310.5
789.2,2134,16.2,2.2,39,5.73,95,12,309.6,327.6,310.7
788,2148,16.2,1.2,36,5.33,96,12,309.7,326.6,310.7
781,2223,15.6,0.6,36,5.14,102,11,309.9,326.2,310.8
774,2300,15,3,44,6.17,109,10,310,329.4,311.2
763,2421,15,-5,25,3.47,119,9,311.3,322.6,312
761.5,2438,14.8,-5.2,25,3.44,120,9,311.3,322.5,312
755,2510,14.2,-5.8,25,3.3,118,9,311.4,322.1,312
747,2600,13.2,-0.8,38,4.86,115,9,311.2,326.7,312.1
736,2724,13.4,-2.6,33,4.31,111,9,312.8,326.7,313.6
734.4,2743,13.3,-3.4,31,4.08,110,9,312.9,326.1,313.7
718,2932,12.8,-11.2,18,2.27,119,11,314.3,322,314.8
708.2,3048,12.3,-12.8,16,2.02,125,12,315,321.8,315.4
700,3145,11.8,-14.2,15,1.83,100,13,315.5,321.8,315.9
699,3157,11.6,-15.4,14,1.66,99,13,315.4,321.1,315.7
691,3253,12.2,-14.8,14,1.76,90,16,317.1,323.2,317.5
682.8,3353,11.8,-18.3,11,1.33,80,18,317.7,322.4,318
658.2,3658,10.5,-29.1,4,0.53,85,26,319.6,321.6,319.7
657,3673,10.4,-29.6,4,0.5,85,26,319.7,321.6,319.8
634.3,3962,8,-28.9,5,0.56,95,32,320.1,322.2,320.3
611.2,4267,5.4,-28.1,7,0.62,85,32,320.6,322.9,320.7
601,4405,4.2,-27.8,8,0.65,86,35,320.8,323.2,320.9
585,4624,4.2,-40.8,2,0.19,88,39,323.3,324,323.3
569,4848,2.8,-42.2,2,0.16,90,43,324.2,324.9,324.2
567,4877,2.8,-42,2,0.17,90,44,324.5,325.2,324.6
560,4977,2.8,-41.2,2,0.19,88,46,325.7,326.4,325.7
545.8,5182,1.1,-42,2,0.18,85,49,326,326.8,326.1
514,5662,-2.9,-43.9,3,0.15,82,47,326.9,327.5,326.9
500,5880,-3.3,-50.3,1,0.08,80,46,328.9,329.3,329
486.4,6096,-4.2,-51.6,1,0.07,85,45,330.4,330.7,330.4
468,6400,-5.5,-53.5,1,0.06,85,43,332.5,332.7,332.5
432.4,7010,-9.4,-56.4,1,0.04,85,38,335.1,335.3,335.1
400,7610,-13.3,-59.3,1,0.03,80,47,337.6,337.8,337.6
399.5,7620,-13.4,-59.3,1,0.03,80,47,337.6,337.8,337.6
394,7725,-14.3,-59.3,1,0.03,80,46,337.8,337.9,337.8
349,8640,-19.1,-63.1,1,0.02,77,39,343.2,343.3,343.2
325.9,9144,-23.2,-65.8,1,0.02,75,35,344.3,344.4,344.3
317,9350,-24.9,-66.9,1,0.01,80,30,344.7,344.8,344.7
300,9750,-27.1,-53.1,7,0.09,90,20,347.1,347.5,347.1
291,9968,-28.5,-56.5,5,0.06,90,18,348.1,348.4,348.1
275,10363,-32.2,-55.4,8,0.08,90,15,348.4,348.8,348.4
263.3,10668,-35.1,-54.5,12,0.09,90,14,348.6,349,348.6
253,10948,-37.7,-53.7,17,0.1,109,14,348.7,349.1,348.7
250,11030,-38.3,-52.3,22,0.12,115,14,349,349.5,349
246,11141,-38.9,-46.9,43,0.23,119,15,349.7,350.7,349.8
241.1,11278,-39.8,-46.8,47,0.24,125,16,350.4,351.4,350.5
236,11424,-40.7,-46.7,52,0.24,132,16,351.1,352.2,351.2
230.5,11582,-41.9,-48.1,51,0.21,140,17,351.6,352.6,351.7
201,12497,-49.1,-56.1,44,0.1,135,26,354.4,354.8,354.4
200,12530,-49.5,-57.5,39,0.08,135,26,354.2,354.6,354.2
191.7,12802,-51.9,-60.6,34,0.06,140,27,354.6,354.9,354.7
177,13315,-56.5,-66.5,27,0.03,140,22,355.3,355.5,355.3
170,13569,-58.7,-71.7,17,0.01,140,20,355.8,355.9,355.8
150.3,14326,-65.8,-76.8,20,0.01,140,13,356.4,356.4,356.4
150,14340,-65.9,-76.9,20,0.01,150,12,356.4,356.4,356.4
146,14504,-67.5,-78.5,20,0.01,159,10,356.4,356.4,356.4
135.8,14935,-70.9,-82.5,17,0,185,4,357.8,357.8,357.8
128.9,15240,-73.4,-85.3,15,0,100,6,358.7,358.7,358.7
127,15330,-74.1,-86.1,14,0,99,9,358.9,358.9,358.9
117,15806,-76.7,-87.7,16,0,91,25,362.6,362.7,362.6
116.1,15850,-77.1,-88.1,16,0,90,27,362.7,362.7,362.7
110,16158,-80.1,-91.1,15,0,88,28,362.7,362.7,362.7
100,16690,-85.1,-96.1,13,0,85,29,363.1,363.1,363.1
88.5,17354,-89.9,-100.9,12,0,80,38,366.4,366.4,366.4
79.1,17955,-90.9,-100.9,14,0,86,46,376.2,376.2,376.2
74.3,18291,-88.7,-98.7,15,0,90,50,387.7,387.7,387.7
74.3,18288,-88.7,-98.7,15,0,90,50,387.6,387.6,387.6
73.2,18372,-85.1,-96.1,13,0,91,46,396.9,396.9,396.9
70.5,18580,-83.1,-94.1,14,0,95,36,405.5,405.5,405.5
70.3,18593,-82.7,-94,13,0,95,35,406.7,406.7,406.7
70,18620,-81.7,-93.7,12,0,100,33,409.3,409.3,409.3
67.4,18837,-74.1,-89.1,8,0,116,24,430.2,430.2,430.2
66.7,18898,-74.5,-89,9,0,120,21,430.5,430.5,430.5
64.5,19092,-75.9,-88.9,12,0,118,24,431.7,431.7,431.7
60,19507,-75.9,-90.8,8,0,115,32,440.6,440.6,440.6
57,19812,-75.9,-92.2,6,0,130,23,447.3,447.3,447.3
55.6,19951,-75.9,-92.9,6,0,120,25,450.4,450.4,450.4
54.1,20111,-71.5,-90.5,4,0,108,26,464,464,464
52.6,20277,-71.5,-91.5,4,0,96,28,467.8,467.8,467.8
51.3,20422,-69.4,-91.9,3,0,85,30,475.9,475.9,475.9
50.1,20568,-67.3,-92.3,2,0,80,32,484.2,484.2,484.2
50,20580,-67.3,-92.3,2,0,80,32,484.5,484.5,484.5
48.8,20726,-66.7,-93,1,0,80,36,489.2,489.2,489.2
46.4,21031,-65.6,-94.4,1,0,100,24,499.1,499.1,499.1
46.3,21046,-65.5,-94.5,1,0,99,24,499.6,499.6,499.6
45.5,21152,-63.7,-93.7,1,0,90,21,506.4,506.4,506.4
44.2,21336,-63.3,-93.3,1,0,75,16,511.8,511.8,511.8
42,21641,-62.5,-92.5,1,0,70,13,520.9,520.9,520.9
40.2,21915,-61.9,-91.9,1,0,142,10,529.2,529.2,529.2
40,21946,-62,-92,1,0,150,10,529.6,529.6,529.6
38.5,22182,-62.9,-92.9,1,0,183,14,533.2,533.2,533.2
37.6,22328,-60.5,-91.5,1,0,203,16,542.9,543,542.9
36.2,22555,-61.2,-92.2,1,0,235,20,546.9,546.9,546.9
35.6,22668,-61.5,-92.5,1,0,240,21,548.9,548.9,548.9
34.9,22791,-60.1,-91.1,1,0,245,23,555.7,555.7,555.7
30.1,23719,-58.1,-90.1,1,0,284,33,585.1,585.1,585.1
30,23740,-58.1,-89.1,1,0,285,33,585.7,585.7,585.7
29.8,23774,-58.3,-89.3,1,0,280,35,586.1,586.2,586.1
29,23953,-59.1,-90.1,1,0,271,35,588.6,588.6,588.6
27.1,24384,-55.6,-88.1,1,0.01,250,36,609.9,610,609.9
26.4,24548,-54.3,-87.3,1,0.01,257,35,618.2,618.2,618.2
24.6,24994,-55.2,-87.3,1,0.01,275,34,628.1,628.2,628.1
24.4,25051,-55.3,-87.3,1,0.01,274,33,629.4,629.5,629.4
22.8,25484,-54.1,-87.1,1,0.01,267,29,645.2,645.3,645.2
21.3,25908,-55.3,-87.7,1,0.01,260,24,654,654.1,654
20.4,26194,-56.1,-88.1,1,0.01,257,32,660,660,660
20,26320,-55.1,-87.1,1,0.01,255,36,666.8,666.9,666.8
19.8,26384,-53.9,-86.9,1,0.01,256,36,672.4,672.5,672.4
17.4,27217,-51.7,-84.7,1,0.02,263,41,704.6,704.9,704.7
16.8,27432,-51.5,-84.6,1,0.02,265,42,711.8,712,711.8
16.1,27737,-51.3,-84.5,1,0.02,265,51,722.1,722.3,722.1
14,28651,-50.7,-84.2,1,0.02,260,45,753.8,754.1,753.8
11.6,29870,-49.9,-83.8,1,0.03,280,37,798.2,798.6,798.2
11.1,30142,-49.7,-83.7,1,0.03,278,34,808.5,808.9,808.5
10.5,30480,-47.5,-82.2,1,0.04,275,30,828.5,829.1,828.5
10.3,30634,-46.5,-81.5,1,0.05,275,32,837.8,838.4,837.8
10,30830,-46.1,-81.1,1,0.06,275,34,846.4,847.1,846.4
9.5,31171,-45.5,-80.5,1,0.06,275,33,861.1,862,861.1
7.7,32567,-46.9,-81.9,1,0.06,275,29,908.8,909.6,908.8
7,33202,-44.1,-80.1,1,0.09,275,28,945.4,946.7,945.5
6.7,33528,-44.3,-80.3,1,0.1,275,27,957.9,959.2,957.9
6.3,33908,-44.5,-80.5,1,0.1,294,30,972.6,974,972.6
6.1,34138,-42.7,-79.2,1,0.12,305,32,989.7,991.5,989.8
5.9,34350,-41.1,-78.1,1,0.15,1005.7,1008,1005.8,,
